km,price
19000,4650
5290,5300
9000,5200
41600,4000
27000,5200
18500,5700
11000,5500
16300,4800
19000,5300
14200,4500
17300,4800
4300,5000
16100,4400
8500,4300
14900,6400
22800,4000
1500,5600
15100,5300
25400,5000
23500,5500
16700,4900
35700,4500
1800,6000
12300,4200
25400,3500
20000,4800
32200,5500
18000,5000
14000,4700
16000,5000
1000,6000
13000,4500
19000,4800
25000,5200
18500,4250
18100,4600
12500,5000
30000,4000
22200,3800
22000,3850
17300,4900
26350,3600
9100,5100
17200,4900
6100,5500
14700,5300
17000,4900
5600,5100
34500,3500
1250,5800
6600,5100
39500,4000
12700,4800
24000,4000
21250,3500
30500,3600
8300,4800
15500,3500
25000,4500
19600,4500
5300,5000
14300,4600
6000,6000
6100,4900
2000,5300
31100,3300
20000,4500
26000,3500
9500,5000
36000,3900
3900,5100
35250,3800
15150,5900
2400,5200
37000,4300
21000,5300
10200,6000
